tenure,estress,affect,withdraw,sex,age,ese
1.67,6,2.6,3,1,51,5.33
.58,5,1,1,0,45,6.05
.58,5.5,2.4,3.66,1,42,5.26
2,3,1.16,4.66,1,50,4.35
5,4.5,1,4.33,1,48,4.86
9,6,1.5,3,1,48,5.05
0,5.5,1,1,0,51,3.66
2.5,3,1.16,1,0,47,6.13
.5,5.5,1.33,2,1,40,5.26
.58,6,3,4,1,43,4
9,5.5,3,4.33,1,57,2.53
1.92,4,2,1,1,36,6.6
2,3,1.83,5,1,33,5.2
1.42,2.5,1.16,1.66,1,29,5.66
.92,3.5,1.16,4,1,33,5.66
20,6,1,1.33,1,48,5.4
2,4,1.33,1.66,1,40,6
10,6,1.5,1.66,1,45,6.13
.92,3.5,1.33,2,0,37,5.46
.5,4,3,4,0,42,4
.67,2.5,3.16,2,0,54,7
8,4,1.5,3.66,1,57,6.53
0,2.5,1.5,3.66,1,37,4
20,4.5,1.83,4,1,49,4
16,1,1,1,0,40,6.53
6.08,4.5,1.33,1.66,1,30,5.2
5.33,3,1.5,4.66,0,49,4.86
4.17,2.5,1.33,5,0,31,5.93
.83,2.5,2.16,2.33,0,26,5.6
11,6,1.16,1.33,1,45,6.33
2.33,4,2.16,1.66,0,40,4
.75,6.5,1.83,1.33,1,40,6.53
.75,4.5,1.4,4,1,25,4.05
9.25,3.5,1,1.66,1,45,5.86
5.5,2,1.33,3,0,47,5.4
6,5,1,1,1,33,6.46
15,6,2.33,2,1,54,4.64
3,3,1.16,2,1,45,6.6
.5,3.5,1,2.66,1,31,6.93
1.17,4.5,1,3,1,33,4.73
2.17,3.5,1.16,1,1,30,6.46
4.25,5,1.5,1,1,45,6.46
4,6,2.16,4.66,0,41,6.26
.5,4.5,1.5,1,1,38,6
1.92,5,2.66,1,1,31,3.93
1.5,5,1.5,2,1,42,5.05
.42,3,1.16,1.33,1,43,5.6
1.5,4,1.83,1,0,40,4
5.17,6.5,2.66,3.66,1,46,5.33
5.17,4,1.33,2.33,1,55,4.93
1.17,3,1,1,0,24,6.4
.42,5.5,1.33,2,1,43,6.2
6.42,4,1.83,2.33,0,43,6
.33,5,1,2.33,1,43,6.2
10,3,1.5,2.66,1,31,6.4
2,3,1,2.33,1,28,5.26
3,2.5,1.33,3,1,34,6.73
6.33,3.5,1.33,1.66,1,63,4.4
3,5.5,1.33,1,0,40,5.73
6,5,1.16,2.66,0,39,6.05
9.17,7,3,5,1,43,6
1.17,5,1,3.33,1,23,7
21,6,1,1,0,51,6.73
6,5.5,1.66,2.33,0,41,4.73
10,6,1.5,1,0,59,7
30,5,1,1.33,1,40,6.6
0,5,1.83,3.33,1,46,5.4
22.5,5,3.66,5,1,52,2.86
.92,7,3,2,1,49,5.13
0,5.5,1.66,1,1,53,6.46
15,6.5,1.83,2.33,1,39,5.33
.17,3,1.5,3,1,55,5.93
.5,6.5,1.66,1.66,1,58,5.8
0,4.5,1,1,1,55,6.2
1.5,3,1.16,1,0,45,6.46
1.58,5,2.16,2,1,34,5.33
3.25,4.5,1.16,1,1,42,6.05
.5,3.5,1,1,1,44,6.2
10,4.5,1.5,4.33,1,30,5.8
4,1,1,2,1,52,6.8
5,4,1.5,1,1,62,5.33
8.92,6.5,4.33,3,0,61,3.06
6.33,2,1.16,1,1,50,6.73
.17,6.5,2.33,2.66,1,36,5.33
5,5.5,3,3.33,1,30,4.4
3,5,2.33,2.33,1,37,5
0,6,1.16,1,1,30,5.13
3.58,5,1,1,1,48,7
1,3,1.33,3,1,37,6.53
.42,4.5,1,2.66,1,36,6.2
.58,5.5,1.33,1.33,1,57,5.93
6,5,1,2,1,55,4.4
9,1.5,1.16,1,1,42,5.6
.58,3,1,1,1,55,7
0,3,1,1,1,42,6.2
.33,4.5,1.66,2,0,35,6.93
10.33,6,1.5,3,0,31,5.53
30,4,1.66,1.33,0,55,4.07
5,3,1.33,2.33,0,32,4.93
2.17,7,3.16,4.66,0,40,5.6
.25,4.5,1,2,0,35,6.93
0,3.5,1,2.66,0,29,5.8
1.67,3.5,1,1,1,57,4.53
22.25,6,1.33,1,1,42,2.86
3,4,2,4,0,42,4.66
7,6,2.16,4,1,43,5.86
6.17,2.5,1,2,0,46,5.8
.75,3,1,3,0,64,5.57
5.25,3,1,1,0,38,6.66
4.67,5,2.33,3,1,42,6
8,5,1.16,1,0,49,4.46
.58,7,3.83,2.33,1,33,5.13
13.33,6.5,1.66,1,1,49,6.33
6.08,6.5,1.33,1,1,60,5.05
.92,2,1.66,2,0,47,7
0,4.5,1,2.33,1,55,5
4.42,5.5,1.16,3,1,41,5
17,4.5,1.16,1,0,41,5.26
5,2.5,1.33,3,0,56,6.2
4.67,3.5,2,1,0,44,6.26
10.08,5.5,1.16,4.33,1,55,3.66
8,4.5,1.33,3.33,0,33,6.6
15,4,1,1,0,55,5.13
8.5,5.5,1.16,1.33,1,53,5.53
6,7,1.33,3.33,1,41,6.53
4.42,5,1.16,1.66,0,40,5
29.75,3,1,2,1,58,7
5,2.5,1.83,1,0,35,5.93
5.17,4,1.16,1,1,45,3.33
2.17,5,1,2.33,0,65,4.86
22,7,2.83,4,0,50,4.86
8,4,1,3,1,62,5.8
2,5,1.66,2.33,1,38,5.33
2.5,3.5,2.33,4,1,49,5.46
.92,6.5,1,4,1,55,4.86
5.17,2,1,1,0,35,6.33
0,6,2,1.33,0,29,3.93
11.83,3.5,1,1,1,38,6.53
15,1,1,1,1,62,5.73
5.67,6.5,2,1.66,1,71,6.53
0,7,2.83,2,1,55,4.8
33,4,1.33,2.66,0,33,5.21
3.83,5.5,2,3.66,1,60,5.93
1,5.5,2,3.33,0,45,6.33
12.5,5.5,1.16,1,1,57,4.4
1.25,6.5,1.16,2.33,1,25,3.6
19,7,4.16,2.33,1,59,5.73
6.25,4.5,1.33,1,0,28,5.66
0,4.5,1.16,1,0,45,6.13
2.17,6.5,1.5,1,0,45,5.53
.5,6,1,4.66,0,45,6.93
6.83,5.5,2,2.33,1,48,6.93
.42,5,1.33,3,0,40,6.46
11.83,6.5,1.66,3.33,1,39,5.05
.83,6.5,2.66,4.33,1,53,6
2.5,5,1,1.33,1,48,7
9.75,4.5,1,1,1,38,6.73
9.08,4.5,1.5,3.66,1,53,4.93
4,4.5,1.66,4.33,1,42,5.05
17,7,1,1,1,65,6.86
5.75,6,1.5,2.66,1,46,5.26
5.17,7,4,6.33,1,56,3.86
19,4,1.16,2.66,1,52,6.6
10,6,1,1,0,45,5.8
6.58,7,2,3.33,0,42,4.46
12.5,7,3.5,4.33,0,64,4.66
.33,4,1.33,1,0,48,5.86
.42,4,1.16,1.33,0,29,5.93
23,5.5,1.33,1,1,49,6.53
17,4.5,1.33,1,1,52,5.46
0,2.5,1.16,3,0,52,5.2
10,4,1,1,1,60,6.66
10.25,5.5,1.5,4,0,35,6.66
15,4,1,1.33,1,58,6.66
6,4,2,1,1,31,5.26
.17,5.5,2.66,2,0,40,6.13
7,4.5,1.33,1.66,0,28,5
10.58,5.5,1.16,1,1,56,5.73
2.58,4.5,2.66,4,1,40,5.66
1.5,6,5,1.66,0,46,4.8
1.75,5,1.5,1,0,28,6.66
3,5.5,1,1,1,28,6.05
6,6,1.5,1.66,1,42,4.86
