subnum,protest,sexism,angry,liking,respappr
209,2,4.87,2,4.83,4.25
44,0,4.25,1,4.5,5.75
124,2,5,3,5.5,4.75
232,2,5.5,1,5.66,7
30,2,5.62,1,6.16,6.75
140,1,5.75,1,6,5.5
27,2,5.12,2,4.66,5
64,0,6.62,1,6.5,6.25
67,0,5.75,6,1,3
182,0,4.62,1,6.83,5.75
85,2,4.75,2,5,5.25
109,2,6.12,5,5.66,7
122,0,4.87,2,5.83,4.5
69,1,5.87,1,6.5,6.25
45,1,4.87,1,4.5,5
28,0,4.62,1,4.83,5.25
170,1,4.5,2,6.16,5.25
66,2,5.5,1,4.33,5
168,2,4.25,3,4.83,4.5
97,1,4.25,4,5,6
7,2,5.25,1,6.5,5.75
29,1,5,1,7,6
116,1,5.75,1,5.33,5.25
35,2,2.87,5,5.5,4.75
13,2,5.5,1,7,6.5
125,0,5.5,5,5.5,1.75
161,1,4.62,1,5,5
186,1,4.37,1,6.83,4.75
188,0,4.37,2,4.83,4.25
68,1,5.62,1,6.66,6.75
210,1,5.12,1,6,6
115,1,4.37,1,6.33,4.75
79,0,4.75,4,5.33,1.75
56,2,4.62,1,5.5,4.75
54,1,5.12,2,5.83,5.75
154,2,4.5,6,5.83,5.5
62,2,5.37,1,6.83,5.5
187,2,4.75,1,5.5,6.25
41,1,4.87,2,5.33,5.25
174,0,5.12,1,5.33,5.75
191,2,5.37,1,7,6.25
163,2,4,1,4.83,4.25
103,0,5.62,1,6.16,5.5
224,0,4.25,5,5.5,2.5
128,0,6.37,4,4.83,2
12,1,5.25,2,6.33,6
90,0,6,4,6,3.5
100,2,4.62,1,5.16,5.25
110,1,4.37,2,5.83,5.25
63,2,6.12,1,7,5.75
21,2,3.62,1,6.33,6
104,1,6,1,6.33,6.25
73,1,7,1,6.33,6.75
118,1,5.87,2,5.66,5.5
227,0,5.5,1,5.33,5
206,0,5.12,6,5.5,3
147,2,3.75,1,4.66,3.75
183,1,5.25,4,4.66,4
108,1,3.87,3,3.83,2.5
9,1,5.5,1,6.83,4.5
22,1,6.37,1,6.83,5.75
117,2,5.25,1,7,6.5
208,1,5.5,1,5.16,5
121,0,4,1,6.83,4.75
77,1,5.87,2,6.33,6.5
102,2,4.87,1,5.5,5.75
169,1,4.87,1,6.66,5.5
173,1,3.5,2,5.16,5.25
94,2,4.12,1,6.33,5.5
87,0,5.5,1,4.16,5
101,0,4,2,6,4.75
202,2,5.12,1,6.5,6.25
98,1,4.62,1,6.33,6.5
239,0,5.87,6,3.66,2.5
184,0,5,5,5.16,4
40,1,4.87,2,4.16,1.75
211,2,5.75,1,5.83,5.25
198,0,5.25,5,5.16,2.25
240,0,4.75,1,7,1.5
59,2,4.37,4,4,3.5
11,2,4.5,1,6.5,6.25
111,0,4.12,1,6.5,4.5
32,1,6.5,1,6.33,4.25
113,0,6.5,1,7,3.25
176,2,4,2,5.66,5.75
175,2,4.25,1,6.5,6.5
229,1,4.75,2,5.66,3.25
222,1,5.5,2,5.66,5.75
88,1,4.75,1,6.33,4.5
195,0,4.25,2,5.83,3.5
134,1,6,1,6.66,5.5
197,2,4.5,3,5.16,5.75
70,1,5.75,1,5,5
71,0,4.25,5,5,6
166,1,4.62,1,4.5,5
16,1,5.62,5,5.16,4.5
78,2,5,6,6.83,6.5
139,0,6.5,7,2.33,1.5
204,0,5.12,5,5.33,3
37,0,5.62,1,6.66,5.25
42,2,5.5,1,7,7
123,1,6.5,2,6,5.25
155,1,4.25,1,5.66,5.5
48,2,6,1,6.5,6
65,0,4.25,1,4.83,3.5
223,0,4.75,5,6.5,4
114,2,4.75,1,3.66,5.25
135,2,6,1,6,4
96,2,4.5,2,6,5.75
81,2,6.25,1,7,3.75
137,2,6.62,1,5,5
236,0,4.5,4,4.5,2.75
200,0,4.62,5,4.5,3.25
185,2,5.75,1,5.83,6.25
180,2,5.12,2,4.5,5.75
72,2,5.37,4,4,3.75
203,1,6.37,1,7,6.5
156,0,6.37,6,4.66,1.75
167,0,4.75,2,6.16,5.75
107,2,5,1,7,6
172,0,4.12,1,7,6
38,0,5.87,6,2.33,2.75
199,2,7,1,6.33,5.5
89,1,5.5,1,6.83,4
201,0,5,2,6.16,5
60,0,4.37,5,4.66,2.5
220,0,5.25,1,6,4.75
99,1,5.25,1,4.83,4.25
190,1,5.37,1,6,3.5
